i0,if,y0,z0,yf,zf
62,26,3.5,-16.894736842105264,1.5,-12.68421052631579
62,43,3.5,-16.894736842105264,2.5,-15.842105263157894
62,81,3.5,-16.894736842105264,4.5,-17.94736842105263
62,85,3.5,-16.894736842105264,4.5,-13.736842105263158
62,86,3.5,-16.894736842105264,4.5,-12.68421052631579
63,4,3.5,-15.842105263157894,0.5,-14.789473684210527
63,25,3.5,-15.842105263157894,1.5,-13.736842105263158
63,26,3.5,-15.842105263157894,1.5,-12.68421052631579
63,27,3.5,-15.842105263157894,1.5,-11.631578947368421
63,28,3.5,-15.842105263157894,1.5,-10.578947368421053
63,40,3.5,-15.842105263157894,2.5,-19.0
63,43,3.5,-15.842105263157894,2.5,-15.842105263157894
63,48,3.5,-15.842105263157894,2.5,-10.578947368421053
63,61,3.5,-15.842105263157894,3.5,-17.94736842105263
63,67,3.5,-15.842105263157894,3.5,-11.631578947368421
63,68,3.5,-15.842105263157894,3.5,-10.578947368421053
64,3,3.5,-14.789473684210527,0.5,-15.842105263157894
64,4,3.5,-14.789473684210527,0.5,-14.789473684210527
64,7,3.5,-14.789473684210527,0.5,-11.631578947368421
64,23,3.5,-14.789473684210527,1.5,-15.842105263157894
64,24,3.5,-14.789473684210527,1.5,-14.789473684210527
65,1,3.5,-13.736842105263158,0.5,-17.94736842105263
65,3,3.5,-13.736842105263158,0.5,-15.842105263157894
65,26,3.5,-13.736842105263158,1.5,-12.68421052631579
65,60,3.5,-13.736842105263158,3.5,-19.0
66,3,3.5,-12.68421052631579,0.5,-15.842105263157894
66,5,3.5,-12.68421052631579,0.5,-13.736842105263158
66,42,3.5,-12.68421052631579,2.5,-16.894736842105264
66,45,3.5,-12.68421052631579,2.5,-13.736842105263158
66,46,3.5,-12.68421052631579,2.5,-12.68421052631579
66,48,3.5,-12.68421052631579,2.5,-10.578947368421053
66,67,3.5,-12.68421052631579,3.5,-11.631578947368421
66,69,3.5,-12.68421052631579,3.5,-9.526315789473685
67,30,3.5,-11.631578947368421,1.5,-8.473684210526317
67,50,3.5,-11.631578947368421,2.5,-8.473684210526317
67,71,3.5,-11.631578947368421,3.5,-7.421052631578949
68,10,3.5,-10.578947368421053,0.5,-8.473684210526317
68,27,3.5,-10.578947368421053,1.5,-11.631578947368421
68,32,3.5,-10.578947368421053,1.5,-6.368421052631579
68,47,3.5,-10.578947368421053,2.5,-11.631578947368421
68,48,3.5,-10.578947368421053,2.5,-10.578947368421053
68,69,3.5,-10.578947368421053,3.5,-9.526315789473685
68,70,3.5,-10.578947368421053,3.5,-8.473684210526317
69,30,3.5,-9.526315789473685,1.5,-8.473684210526317
69,46,3.5,-9.526315789473685,2.5,-12.68421052631579
69,47,3.5,-9.526315789473685,2.5,-11.631578947368421
70,6,3.5,-8.473684210526317,0.5,-12.68421052631579
70,8,3.5,-8.473684210526317,0.5,-10.578947368421053
70,34,3.5,-8.473684210526317,1.5,-4.2631578947368425
70,50,3.5,-8.473684210526317,2.5,-8.473684210526317
70,54,3.5,-8.473684210526317,2.5,-4.2631578947368425
70,69,3.5,-8.473684210526317,3.5,-9.526315789473685
70,71,3.5,-8.473684210526317,3.5,-7.421052631578949
71,13,3.5,-7.421052631578949,0.5,-5.315789473684211
71,26,3.5,-7.421052631578949,1.5,-12.68421052631579
71,36,3.5,-7.421052631578949,1.5,-2.157894736842106
71,47,3.5,-7.421052631578949,2.5,-11.631578947368421
71,55,3.5,-7.421052631578949,2.5,-3.2105263157894743
71,56,3.5,-7.421052631578949,2.5,-2.157894736842106
71,68,3.5,-7.421052631578949,3.5,-10.578947368421053
71,70,3.5,-7.421052631578949,3.5,-8.473684210526317
71,93,3.5,-7.421052631578949,4.5,-5.315789473684211
72,8,3.5,-6.368421052631579,0.5,-10.578947368421053
72,13,3.5,-6.368421052631579,0.5,-5.315789473684211
72,27,3.5,-6.368421052631579,1.5,-11.631578947368421
72,29,3.5,-6.368421052631579,1.5,-9.526315789473685
72,48,3.5,-6.368421052631579,2.5,-10.578947368421053
72,51,3.5,-6.368421052631579,2.5,-7.421052631578949
72,67,3.5,-6.368421052631579,3.5,-11.631578947368421
72,70,3.5,-6.368421052631579,3.5,-8.473684210526317
73,12,3.5,-5.315789473684211,0.5,-6.368421052631579
73,28,3.5,-5.315789473684211,1.5,-10.578947368421053
73,51,3.5,-5.315789473684211,2.5,-7.421052631578949
73,70,3.5,-5.315789473684211,3.5,-8.473684210526317
74,30,3.5,-4.2631578947368425,1.5,-8.473684210526317
74,32,3.5,-4.2631578947368425,1.5,-6.368421052631579
75,50,3.5,-3.2105263157894743,2.5,-8.473684210526317
80,1,4.5,-19.0,0.5,-17.94736842105263
80,4,4.5,-19.0,0.5,-14.789473684210527
80,40,4.5,-19.0,2.5,-19.0
80,41,4.5,-19.0,2.5,-17.94736842105263
80,42,4.5,-19.0,2.5,-16.894736842105264
80,45,4.5,-19.0,2.5,-13.736842105263158
81,0,4.5,-17.94736842105263,0.5,-19.0
81,1,4.5,-17.94736842105263,0.5,-17.94736842105263
81,63,4.5,-17.94736842105263,3.5,-15.842105263157894
82,0,4.5,-16.894736842105264,0.5,-19.0
82,1,4.5,-16.894736842105264,0.5,-17.94736842105263
82,21,4.5,-16.894736842105264,1.5,-17.94736842105263
82,61,4.5,-16.894736842105264,3.5,-17.94736842105263
82,63,4.5,-16.894736842105264,3.5,-15.842105263157894
83,4,4.5,-15.842105263157894,0.5,-14.789473684210527
83,41,4.5,-15.842105263157894,2.5,-17.94736842105263
