i0,if,y0,z0,yf,zf
47,84,2.5,-11.631578947368421,4.5,-14.789473684210527
47,91,2.5,-11.631578947368421,4.5,-7.421052631578949
47,92,2.5,-11.631578947368421,4.5,-6.368421052631579
47,94,2.5,-11.631578947368421,4.5,-4.2631578947368425
47,95,2.5,-11.631578947368421,4.5,-3.2105263157894743
48,0,2.5,-10.578947368421053,0.5,-19.0
48,2,2.5,-10.578947368421053,0.5,-16.894736842105264
48,5,2.5,-10.578947368421053,0.5,-13.736842105263158
48,12,2.5,-10.578947368421053,0.5,-6.368421052631579
48,20,2.5,-10.578947368421053,1.5,-19.0
48,21,2.5,-10.578947368421053,1.5,-17.94736842105263
48,23,2.5,-10.578947368421053,1.5,-15.842105263157894
48,24,2.5,-10.578947368421053,1.5,-14.789473684210527
48,25,2.5,-10.578947368421053,1.5,-13.736842105263158
48,29,2.5,-10.578947368421053,1.5,-9.526315789473685
48,33,2.5,-10.578947368421053,1.5,-5.315789473684211
48,61,2.5,-10.578947368421053,3.5,-17.94736842105263
48,69,2.5,-10.578947368421053,3.5,-9.526315789473685
48,83,2.5,-10.578947368421053,4.5,-15.842105263157894
48,90,2.5,-10.578947368421053,4.5,-8.473684210526317
49,3,2.5,-9.526315789473685,0.5,-15.842105263157894
49,14,2.5,-9.526315789473685,0.5,-4.2631578947368425
49,24,2.5,-9.526315789473685,1.5,-14.789473684210527
49,25,2.5,-9.526315789473685,1.5,-13.736842105263158
49,28,2.5,-9.526315789473685,1.5,-10.578947368421053
49,41,2.5,-9.526315789473685,2.5,-17.94736842105263
49,47,2.5,-9.526315789473685,2.5,-11.631578947368421
49,48,2.5,-9.526315789473685,2.5,-10.578947368421053
49,51,2.5,-9.526315789473685,2.5,-7.421052631578949
49,91,2.5,-9.526315789473685,4.5,-7.421052631578949
49,95,2.5,-9.526315789473685,4.5,-3.2105263157894743
